INFO 2021-05-28 08:08:55,203 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-28 08:08:55,229 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-28 08:08:55,230 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-28 08:08:55,230 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-28 08:10:44,737 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-28 08:10:44,749 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-28 08:10:44,750 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-28 08:36:02,861 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-05-28 08:36:09,582 log 228 Not Found: /pc-geetest/register
WARNING 2021-05-28 08:36:09,583 basehttp 154 "GET /pc-geetest/register?t=1622162169549 HTTP/1.1" 404 2463
WARNING 2021-05-28 08:37:35,366 log 228 Not Found: /pc-geetest/register
WARNING 2021-05-28 08:37:35,367 basehttp 154 "GET /pc-geetest/register?t=1622162255349 HTTP/1.1" 404 2463
WARNING 2021-05-28 08:38:39,230 log 228 Not Found: /pc-geetest/register
WARNING 2021-05-28 08:38:39,231 basehttp 154 "GET /pc-geetest/register?t=1622162319222 HTTP/1.1" 404 2463
WARNING 2021-05-28 08:39:12,483 log 228 Not Found: /
WARNING 2021-05-28 08:39:12,484 basehttp 154 "GET / HTTP/1.1" 404 2372
WARNING 2021-05-28 08:39:12,610 log 228 Not Found: /favicon.ico
WARNING 2021-05-28 08:39:12,611 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2423
WARNING 2021-05-28 08:39:24,492 log 228 Not Found: /users/
WARNING 2021-05-28 08:39:24,492 basehttp 154 "GET /users/ HTTP/1.1" 404 2810
ERROR 2021-05-28 08:39:31,984 log 228 Internal Server Error: /users/pc-geetest/register
Traceback (most recent call last):
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\exception.py", line 34, in inner
    response = get_response(request)
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\base.py", line 115, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\base.py", line 113, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "E:\envs\luffy\lib\site-packages\django\views\decorators\csrf.py", line 54, in wrapped_view
    return view_func(*args, **kwargs)
  File "E:\envs\luffy\lib\site-packages\django\views\generic\base.py", line 71, in view
    return self.dispatch(request, *args, **kwargs)
  File "E:\envs\luffy\lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
  File "E:\envs\luffy\lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "E:\envs\luffy\lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "E:\envs\luffy\lib\site-packages\rest_framework\views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
  File "E:\luffy\luffyapi\luffyapi\apps\users\views.py", line 22, in get
    request.session[gt.GT_STATUS_SESSIONKEY] = status
AttributeError: 'GeetestLib' object has no attribute 'GT_STATUS_SESSIONKEY'
ERROR 2021-05-28 08:39:31,986 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 500 99430
INFO 2021-05-28 10:32:24,901 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-05-28 10:32:28,470 log 228 Not Found: /pc-geetest/register
WARNING 2021-05-28 10:32:28,471 basehttp 154 "GET /pc-geetest/register?t=1622169148446 HTTP/1.1" 404 2463
WARNING 2021-05-28 10:32:40,400 log 228 Not Found: /
WARNING 2021-05-28 10:32:40,401 basehttp 154 "GET / HTTP/1.1" 404 2372
WARNING 2021-05-28 10:32:44,279 log 228 Not Found: /users
WARNING 2021-05-28 10:32:44,280 basehttp 154 "GET /users HTTP/1.1" 404 2405
WARNING 2021-05-28 10:32:48,080 log 228 Not Found: /users/
WARNING 2021-05-28 10:32:48,081 basehttp 154 "GET /users/ HTTP/1.1" 404 2810
INFO 2021-05-28 10:32:54,723 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 10:42:57,765 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-05-28 10:42:58,310 log 228 Not Found: /users/
WARNING 2021-05-28 10:42:58,311 basehttp 154 "GET /users/ HTTP/1.1" 404 2810
INFO 2021-05-28 10:43:05,563 basehttp 154 "GET /users/pc-geetest/ajax_validate HTTP/1.1" 200 105
WARNING 2021-05-28 10:43:39,323 log 228 Not Found: /users/
WARNING 2021-05-28 10:43:39,324 basehttp 154 "GET /users/ HTTP/1.1" 404 2810
INFO 2021-05-28 10:43:45,535 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:01:15,457 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-28 11:01:19,011 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:01:21,544 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:01:23,828 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:01:26,307 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:01:32,112 autoreload 217 E:\luffy\luffyapi\luffyapi\apps\users\views.py changed, reloading.
INFO 2021-05-28 11:01:33,603 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-28 11:01:36,778 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:01:45,684 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:01:46,759 basehttp 154 "GET /users/pc-geetest/register HTTP/1.1" 200 105
INFO 2021-05-28 11:05:12,698 autoreload 217 E:\luffy\luffyapi\luffyapi\apps\users\views.py changed, reloading.
INFO 2021-05-28 11:05:14,200 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-28 11:22:49,897 autoreload 217 E:\luffy\luffyapi\luffyapi\apps\users\urls.py changed, reloading.
INFO 2021-05-28 11:22:51,680 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-28 11:28:38,214 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-28 11:28:38,215 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-28 11:28:38,216 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-28 11:28:40,211 basehttp 154 "GET /users/capycha HTTP/1.1" 200 105
